,Sum log-adjP-values,adjP-values,Category
Rps13,-239.24696089971806,"[5.6837405162910755e-09, 1e-10, 0.6635896221115026, 1e-10, 1e-10, 1e-10, 0.026355600680854487, 1e-10, 1e-10, 0.036273597619002625, 0.025134492262116573, 1e-10, 0.11793924815542044, 0.20389323103847382, 0.901453650326575, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.8650739115636795e-08, 1e-10, 0.09828467839565305, 0.5746421528238344, 1e-10, 0.032427528454982334, 0.3636888730958151, 1e-10, 1e-10, 1e-10, 1e-10, 0.5185593653409308, 1e-10, 0.00044745085989796084, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl14,-237.74177657919094,"[0.0019634095137037425, 5.638360362749259e-08, 0.08772428001805814, 1e-10, 1e-10, 1e-10, 0.007976726664691089, 1e-10, 1e-10, 1e-10, 6.050847189581665e-07, 1e-10, 0.015285477204792687, 0.36991485798486123, 0.9786357151293934, 6.782714232397965e-07, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.00027459271816671126, 1e-10, 0.002014386369722347, 0.12512881563603026, 1.5753440292887546e-08, 5.372800011944321e-05, 0.40662152162463006, 0.014427480194485913, 1e-10, 1e-10, 1e-10, 0.3047738060649608, 1e-10, 9.834899726283005e-09, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl24,-237.7185179584286,"[3.6412396226651375e-08, 1e-10, 0.2936626800460204, 1e-10, 1e-10, 1e-10, 0.05051054992532033, 1e-10, 1e-10, 1e-10, 0.0014762841305570537, 1e-10, 0.2586737878700177, 0.4067620326509139, 0.8868007530829674, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.1776976555301762e-09, 1e-10, 0.25355364696602545, 1.7017074761460875e-08, 0.6541264699935257, 0.29511865905268514, 0.47962133338490376, 1.4471148676667748e-05, 1e-10, 1e-10, 1e-10, 0.6414861941487582, 1e-10, 0.05884062911538144, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps23,-237.06723464601797,"[1e-10, 6.685948037241192e-05, 0.1040922552391293, 1e-10, 1e-10, 1e-10, 9.813152736879058e-07, 1e-10, 1e-10, 0.41304464663150264, 0.6562794959257409, 0.9194121138124276, 0.8739145921130385, 0.49430063845636213, 1.264608184528853e-08, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.841347464216015e-09, 1e-10, 0.005665552133239952, 0.5285667918515794, 1e-10, 0.017600300840707444, 0.16723240320044913, 1e-10, 1e-10, 1e-10, 1e-10, 0.5135903908384842, 1e-10, 0.0011051669797704907, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps8,-236.58123178674109,"[1e-10, 1e-10, 0.12121722728153658, 1e-10, 1e-10, 1e-10, 0.00010742296496719749, 1.3742050163679424e-05, 1e-10, 0.0025413307352171763, 0.8040196897817605, 0.011774307385417467, 0.8923604224868795, 0.3799157449102418, 1.1062928425635291e-07, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1.2365539366382665e-08, 1e-10, 0.00011958621824944506, 0.0035255499846543388, 1.0133546505690683e-07, 0.39363857825413007, 0.008100608841354433, 1e-10, 1e-10, 1e-10, 1e-10, 0.957565474228168, 1e-10, 0.10069964315828384, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps4x,-236.48193583941307,"[3.452421772176949e-09, 1e-10, 0.6466454390280615, 1e-10, 1e-10, 1e-10, 0.02478091815523309, 3.890414042941006e-09, 1e-10, 0.07437479383086343, 0.00020310067878109066, 8.352023354692463e-09, 0.5918221133245182, 0.9203671277151666, 0.03628965957345111, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.0008981586048403225, 5.104876515792259e-05, 1e-10, 0.06652947960078388, 0.7157873506567647, 1e-10, 0.00017388666932467356, 0.5111764574393425, 1e-10, 1e-10, 1e-10, 1e-10, 0.3164632556170165, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl3,-235.66789835905027,"[8.412126725087371e-10, 1e-10, 0.005270022239381513, 1e-10, 1e-10, 1e-10, 0.11746190323612236, 9.974462617916717e-10, 1e-10, 5.462665195320787e-10, 1e-10, 1e-10, 0.09535670034266072, 0.2754321776666604, 0.882682444294757, 5.444662267214366e-08, 1e-10, 2.59492129882339e-08, 1e-10, 1e-10, 0.8275649434231543, 4.9008777382695314e-05, 1e-10, 0.8729028228081364, 1.7537802195763977e-05, 1e-10, 6.180630838101693e-07, 0.8601782396268086, 0.002809730175789085, 1e-10, 1e-10, 1e-10, 0.4465820351633458, 1e-10, 0.5581136023599412, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rps19,-235.28095659334468,"[4.4616161640165984e-08, 1e-10, 0.039906519908212895, 1e-10, 1e-10, 1e-10, 0.4653722646042257, 1e-10, 1e-10, 8.222807112854391e-08, 0.05718315289874236, 0.0017762296726446726, 0.6293669704618142, 0.6064626279921007, 0.3396181768888381, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.17687111612223314, 1e-10, 0.006542008556837021, 0.22186908286462936, 1e-10, 0.4773785331923665, 0.4794925920060365, 1e-10, 1e-10, 1e-10, 1e-10, 0.9933699334657811, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl23,-235.0579087416465,"[1e-10, 1e-10, 0.6734337277443352, 1e-10, 1e-10, 1e-10, 0.13074308894169684, 1e-10, 1e-10, 0.011172116560699216, 0.006578799806491681, 4.652636060236626e-06, 0.8655351839286543, 0.9358135123782962, 0.633585246034652, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.0044167217768385945, 0.06643341878098656, 9.737105469239928e-08, 0.4917148262150939, 0.9812885773056375, 1e-10, 1e-10, 1e-10, 1e-10, 0.7859652244953388, 1e-10, 0.0005227420674457313, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Uba52,-234.77002016488848,"[1e-10, 2.734896650626709e-05, 0.12524036014060785, 1e-10, 1e-10, 1e-10, 0.801734324498254, 1e-10, 1e-10, 1.6944689255927305e-10, 0.9958224201926397, 0.7360212232871727, 0.9041100519862698, 0.4505119723795578, 6.978144724270362e-05, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.7790784260888147, 1e-10, 1e-10, 0.11792761372154863, 1e-10, 0.021069518349439084, 3.022210795232594e-06, 0.9031923797020189, 1e-10, 1e-10, 1e-10, 1e-10, 0.15151815172825225, 1e-10, 2.1881127641343187e-06, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpsa,-234.49274738256923,"[3.0373283487190295e-09, 1e-10, 0.7184798952051148, 1e-10, 1e-10, 1e-10, 0.2988404645167208, 1e-10, 1e-10, 1e-10, 0.9517423595484195, 1e-10, 0.07142924954781776, 0.9249556576628121, 0.35372174592060196, 1e-10, 1e-10, 5.218989815983818e-07, 1e-10, 1e-10, 1e-10, 5.7233989442861735e-08, 1e-10, 0.525959462700562, 0.9052866993527346, 4.176475885401845e-09, 0.9273802146890968, 0.9809298378707724, 0.04560213230704759, 1e-10, 1e-10, 1e-10, 0.899619603563974, 1e-10, 1e-10, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl32,-234.01188200748223,"[1e-10, 1e-10, 0.2938695030746296, 1e-10, 1e-10, 1e-10, 0.00399452493431055, 1e-10, 1e-10, 4.954550250384977e-05, 0.013282016348494026, 1e-10, 0.8905458968499074, 0.7691222356735142, 0.6948939106381102, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 0.006701146772995744, 1.1645222549411055e-07, 1e-10, 0.35939623077650884, 4.34184399429403e-07, 0.10829106236040423, 0.00743901559814709, 0.39514654400411625, 1e-10, 1e-10, 1e-10, 1e-10, 0.5854184458794321, 1e-10, 1.1662256245263153e-05, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl31,-233.82083651977806,"[1e-10, 1e-10, 0.7670191219779967, 1e-10, 1e-10, 1e-10, 0.14157220650392396, 1e-10, 1e-10, 0.020306514862011037, 0.0001135400418666786, 2.522720013193616e-07, 0.8859473024331708, 8.589452704400397e-06, 0.0003360807912266142, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 1e-10, 5.185876425459864e-05, 1e-10, 0.00331502456797146, 0.021635565618663175, 0.9407527890461888, 0.059905515738779704, 0.9829738034894272, 7.193807617802376e-06, 1e-10, 1e-10, 1e-10, 0.9698550684822763, 1e-10, 6.505514075277949e-08, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
Rpl7,-233.59837445319587,"[1e-10, 1e-10, 0.13834329384126093, 1e-10, 1e-10, 1e-10, 0.7839745698530363, 0.0005226817549118269, 1e-10, 1e-10, 1.4165505428577567e-06, 1e-10, 0.6238730268824233, 0.4527559249119834, 0.2654279882539327, 1.0051073650584762e-06, 1e-10, 1e-10, 1e-10, 1e-10, 0.01478776349527131, 2.7001513650545218e-05, 1e-10, 0.3834676248780857, 2.3202691175023657e-05, 1e-10, 0.5849337898140552, 0.1861456781972495, 1e-10, 1e-10, 1e-10, 1e-10, 0.528269490767765, 1e-10, 0.00020389362858444694, 1e-10]","['Limb-Muscle_B cell', 'Limb-Muscle_T cell', 'Limb-Muscle_endothelial cell', 'Limb-Muscle_macrophage', 'Limb-Muscle_mesenchymal stem cell', 'Limb-Muscle_skeletal muscle satellite cell', 'Limb-Muscle_smooth muscle cell', 'Brain_endothelial cell', 'Brain_microglial cell', 'Brain_oligodendrocyte', 'Heart_endothelial cell of coronary artery', 'Heart_fibroblast of cardiac tissue', 'Heart_leukocyte', 'Lung_endothelial cell', 'Lung_lymphocyte', 'Lung_macrophage', 'Lung_monocyte', 'Lung_stromal cell', 'Bladder_bladder cell', 'Bladder_bladder urothelial cell', 'Liver_Kupffer cell', 'Liver_hepatocyte', 'Kidney_epithelial cell of proximal tubule', 'Kidney_fenestrated cell', 'Kidney_kidney loop of Henle thick ascending limb epithelial cell', 'Kidney_kidney proximal convoluted tubule epithelial cell', 'Kidney_macrophage', 'Bone-Marrow_erythroblast', 'Bone-Marrow_granulocyte', 'Bone-Marrow_granulocytopoietic cell', 'Bone-Marrow_hematopoietic precursor cell', 'Bone-Marrow_megakaryocyte-erythroid progenitor cell', 'Bone-Marrow_monocyte', 'Bone-Marrow_naïve T cell', 'Bone-Marrow_proerythroblast', 'Bone-Marrow_promonocyte']"
