,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
33085,24m,Cd2,3.6660674,1.4967722,0.00024630897533593136,0.03227664006422197,Limb-Muscle_macrophage
16632,18m,Spp1,3.9500413,1.4540787,7.813769180812641e-05,0.007325852571169852,Limb-Muscle_macrophage
16659,18m,Il10,3.650952,1.4359415,0.00026127000875738666,0.019332809033657566,Limb-Muscle_macrophage
16508,18m,Trem2,8.560388,1.4323701,1.1248889260577896e-17,2.320224021109948e-14,Limb-Muscle_macrophage
33006,24m,Clec4b1,5.731126,1.4161632,9.976625373060366e-09,9.68378207534524e-06,Limb-Muscle_macrophage
16655,18m,Cxcl3,3.694293,1.408264,0.0002204994369229378,0.016923075389141378,Limb-Muscle_macrophage
16520,18m,Fcgr1,6.8791766,1.3322774,6.019952873519038e-12,4.515238289360802e-09,Limb-Muscle_macrophage
16511,18m,C3ar1,7.999165,1.2601235,1.2526551678436223e-15,1.8790966295079647e-12,Limb-Muscle_macrophage
16501,18m,C1qb,10.876058,1.2598844,1.4990643553231654e-27,2.473606092718755e-23,Limb-Muscle_macrophage
16522,18m,Axl,6.709005,1.2456049,1.959559206525688e-11,1.3472786027866824e-08,Limb-Muscle_macrophage
16503,18m,C1qc,9.738941,1.2437123,2.0568533709238572e-22,1.1313379157871523e-18,Limb-Muscle_macrophage
16502,18m,C1qa,9.86479,1.2420095,5.915813157651199e-23,4.8808416457201215e-19,Limb-Muscle_macrophage
33016,24m,Pilra,4.8839,1.2017237,1.040078034930415e-06,0.0005720775884795593,Limb-Muscle_macrophage
33048,24m,LOC100038947,4.0923285,1.1916859,4.270628253603057e-05,0.009034568822141544,Limb-Muscle_macrophage
33029,24m,Arl5c,4.3530498,1.1427133,1.3425654234077955e-05,0.004451670369234103,Limb-Muscle_macrophage
33005,24m,Fn1,5.8802223,1.1232682,4.097158051535131e-09,4.507147000558746e-06,Limb-Muscle_macrophage
33036,24m,Fgr,4.2865653,1.0548174,1.8145693858744786e-05,0.005074950751917758,Limb-Muscle_macrophage
