,group,names,scores,logfoldchanges,pvals,pvals_adj,experiment
39935,24m,Cst3,3.6904988,22.995256,0.00022381475070926984,0.00894358339856358,Limb-Muscle_macrophage
19878,18m,S100a6,12.838602,22.776466,9.965789637538183e-38,8.246690925062846e-35,Limb-Muscle_macrophage
20044,18m,Mt2,5.854446,22.49425,4.78602260896894e-09,3.066142226262037e-07,Limb-Muscle_macrophage
39920,24m,Ngp,3.8077195,18.117785,0.0001402542273869975,0.006039414375028373,Limb-Muscle_macrophage
59584,30m,Rn45s,6.6812077,16.913229,2.369811094732432e-11,1.4707640106683156e-08,Limb-Muscle_macrophage
59666,30m,Actg1,3.9920523,16.352575,6.550388804744011e-05,0.005465996708496473,Limb-Muscle_macrophage
59629,30m,H2afz,4.6227508,8.630464,3.7868456147635955e-06,0.0004958563802300483,Limb-Muscle_macrophage
59657,30m,Cd52,4.0752335,6.2719517,4.59682371756952e-05,0.00418640175919622,Limb-Muscle_macrophage
59616,30m,Rps27,4.9886928,6.270426,6.078926193350353e-07,0.00010231141881350677,Limb-Muscle_macrophage
59709,30m,Plac8,3.5053902,5.7635965,0.00045593849399135766,0.027606519788623055,Limb-Muscle_macrophage
59712,30m,Calm1,3.4856753,4.8270607,0.0004908965270854186,0.02904479556984975,Limb-Muscle_macrophage
59580,30m,Malat1,37.26849,379.53308,5.3175346267633885e-304,1.056062376875209e-299,Limb-Muscle_mesenchymal stem cell
0,1m,Col1a1,65.37356,202.33575,0.0,0.0,Limb-Muscle_mesenchymal stem cell
2,1m,Col1a2,62.67602,198.35431,0.0,0.0,Limb-Muscle_mesenchymal stem cell
1,1m,Sparc,65.117966,185.04501,0.0,0.0,Limb-Muscle_mesenchymal stem cell
3,1m,Col3a1,55.20534,154.11676,0.0,0.0,Limb-Muscle_mesenchymal stem cell
39720,24m,Dcn,33.235676,132.82552,3.2877894965885108e-242,5.441291616853985e-239,Limb-Muscle_mesenchymal stem cell
39749,24m,Gsn,18.71431,108.31357,3.7848672513129387e-78,8.541757228531246e-76,Limb-Muscle_mesenchymal stem cell
39821,24m,Mt1,12.328856,99.54376,6.333901383062632e-35,4.875631064636584e-33,Limb-Muscle_mesenchymal stem cell
