,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Gstt3,0.064254994,0.024457022,Limb-Muscle_skeletal muscle satellite cell,0.064254994
Arsk,-0.064232833,0.024506439,Limb-Muscle_skeletal muscle satellite cell,0.064232833
Clk2,-0.064220591,0.024533773,Limb-Muscle_skeletal muscle satellite cell,0.064220591
Erc1,-0.064215695,0.024544713,Limb-Muscle_skeletal muscle satellite cell,0.064215695
Mapk1,-0.064213533,0.024549546,Limb-Muscle_skeletal muscle satellite cell,0.064213533
Exoc4,-0.064200067,0.024579661,Limb-Muscle_skeletal muscle satellite cell,0.064200067
Tmem38a,-0.064173415,0.024639361,Limb-Muscle_skeletal muscle satellite cell,0.064173415
Lyn,0.064158695,0.024672388,Limb-Muscle_skeletal muscle satellite cell,0.064158695
3200002M19Rik,-0.064151432,0.024688698,Limb-Muscle_skeletal muscle satellite cell,0.064151432
A430105I19Rik,-0.064123914,0.024750575,Limb-Muscle_skeletal muscle satellite cell,0.064123914
Tubb5,-0.064083675,0.0248413,Limb-Muscle_skeletal muscle satellite cell,0.064083675
Zbtb5,-0.064076713,0.024857024,Limb-Muscle_skeletal muscle satellite cell,0.064076713
Ap4e1,-0.06407451,0.024862004,Limb-Muscle_skeletal muscle satellite cell,0.06407451
Parp4,0.064057973,0.024899398,Limb-Muscle_skeletal muscle satellite cell,0.064057973
Cables1,-0.064056253,0.024903291,Limb-Muscle_skeletal muscle satellite cell,0.064056253
Tmem205,-0.064055309,0.024905427,Limb-Muscle_skeletal muscle satellite cell,0.064055309
Chrnb1,-0.064042473,0.024934492,Limb-Muscle_skeletal muscle satellite cell,0.064042473
Dnm2,-0.064029603,0.024963665,Limb-Muscle_skeletal muscle satellite cell,0.064029603
Icosl,-0.064026217,0.024971345,Limb-Muscle_skeletal muscle satellite cell,0.064026217
Mfsd1,-0.06399666,0.025038471,Limb-Muscle_skeletal muscle satellite cell,0.06399666
Bri3,-0.063970617,0.025097746,Limb-Muscle_skeletal muscle satellite cell,0.063970617
Slc44a1,-0.063963265,0.025114502,Limb-Muscle_skeletal muscle satellite cell,0.063963265
Uhrf1,-0.063962153,0.025117037,Limb-Muscle_skeletal muscle satellite cell,0.063962153
Hs2st1,-0.063930065,0.025190286,Limb-Muscle_skeletal muscle satellite cell,0.063930065
Cgnl1,-0.063927815,0.025195429,Limb-Muscle_skeletal muscle satellite cell,0.063927815
Rnf145,-0.063919148,0.025215248,Limb-Muscle_skeletal muscle satellite cell,0.063919148
Plscr4,0.063914948,0.025224857,Limb-Muscle_skeletal muscle satellite cell,0.063914948
Ier2,0.063909179,0.025238062,Limb-Muscle_skeletal muscle satellite cell,0.063909179
1700113A16Rik,-0.063893489,0.025274005,Limb-Muscle_skeletal muscle satellite cell,0.063893489
Pank3,-0.063890344,0.025281214,Limb-Muscle_skeletal muscle satellite cell,0.063890344
Ypel5,-0.063871742,0.025323894,Limb-Muscle_skeletal muscle satellite cell,0.063871742
Tet1,-0.063862565,0.025344974,Limb-Muscle_skeletal muscle satellite cell,0.063862565
Ireb2,-0.063861369,0.025347721,Limb-Muscle_skeletal muscle satellite cell,0.063861369
Gpatch8,-0.063836163,0.025405701,Limb-Muscle_skeletal muscle satellite cell,0.063836163
Snx1,-0.063833283,0.025412333,Limb-Muscle_skeletal muscle satellite cell,0.063833283
Oaz2,-0.063800407,0.025488146,Limb-Muscle_skeletal muscle satellite cell,0.063800407
Iars,-0.063793601,0.025503865,Limb-Muscle_skeletal muscle satellite cell,0.063793601
Gtpbp10,-0.063791852,0.025507905,Limb-Muscle_skeletal muscle satellite cell,0.063791852
Aldh7a1,0.063791142,0.025509547,Limb-Muscle_skeletal muscle satellite cell,0.063791142
Por,-0.06377185,0.025554155,Limb-Muscle_skeletal muscle satellite cell,0.06377185
Nckap1,-0.063768724,0.025561391,Limb-Muscle_skeletal muscle satellite cell,0.063768724
Rab28,-0.063753579,0.025596468,Limb-Muscle_skeletal muscle satellite cell,0.063753579
Nup98,0.063736666,0.025635689,Limb-Muscle_skeletal muscle satellite cell,0.063736666
Ccm2,-0.06372516,0.025662399,Limb-Muscle_skeletal muscle satellite cell,0.06372516
Morn1,-0.063698444,0.025724515,Limb-Muscle_skeletal muscle satellite cell,0.063698444
Gbp9,0.063677156,0.025774104,Limb-Muscle_skeletal muscle satellite cell,0.063677156
Ptcd2,-0.063670511,0.0257896,Limb-Muscle_skeletal muscle satellite cell,0.063670511
Ly6c1,0.063663084,0.025806929,Limb-Muscle_skeletal muscle satellite cell,0.063663084
Erf,0.063631534,0.025880652,Limb-Muscle_skeletal muscle satellite cell,0.063631534
Kctd13,-0.063603363,0.025946637,Limb-Muscle_skeletal muscle satellite cell,0.063603363
Fndc4,0.06358117,0.025998719,Limb-Muscle_skeletal muscle satellite cell,0.06358117
Zkscan1,-0.06356139,0.026045216,Limb-Muscle_skeletal muscle satellite cell,0.06356139
Fam118b,-0.063545425,0.026082797,Limb-Muscle_skeletal muscle satellite cell,0.063545425
Pi4kb,-0.06354365,0.026086977,Limb-Muscle_skeletal muscle satellite cell,0.06354365
Fxn,-0.063541345,0.026092408,Limb-Muscle_skeletal muscle satellite cell,0.063541345
Crocc,-0.063538716,0.026098603,Limb-Muscle_skeletal muscle satellite cell,0.063538716
Polr3f,-0.063533439,0.026111042,Limb-Muscle_skeletal muscle satellite cell,0.063533439
Smad3,-0.063526959,0.026126323,Limb-Muscle_skeletal muscle satellite cell,0.063526959
Aff2,0.063523446,0.02613461,Limb-Muscle_skeletal muscle satellite cell,0.063523446
Hhat,-0.063515083,0.026154349,Limb-Muscle_skeletal muscle satellite cell,0.063515083
Tpm4,0.063458752,0.026287638,Limb-Muscle_skeletal muscle satellite cell,0.063458752
Ints3,-0.063454574,0.026297548,Limb-Muscle_skeletal muscle satellite cell,0.063454574
Dcaf11,-0.063444958,0.026320367,Limb-Muscle_skeletal muscle satellite cell,0.063444958
Cdt1,-0.06344353,0.026323757,Limb-Muscle_skeletal muscle satellite cell,0.06344353
Pcnp,-0.063443374,0.026324128,Limb-Muscle_skeletal muscle satellite cell,0.063443374
Polr3a,-0.063388355,0.026455035,Limb-Muscle_skeletal muscle satellite cell,0.063388355
Tpd52l1,-0.063383561,0.026466468,Limb-Muscle_skeletal muscle satellite cell,0.063383561
1700052N19Rik,-0.063373605,0.026490226,Limb-Muscle_skeletal muscle satellite cell,0.063373605
Ngf,-0.063367864,0.026503933,Limb-Muscle_skeletal muscle satellite cell,0.063367864
Gin1,-0.063362429,0.026516916,Limb-Muscle_skeletal muscle satellite cell,0.063362429
Gusb,-0.063349808,0.026547083,Limb-Muscle_skeletal muscle satellite cell,0.063349808
Zfp146,-0.063347503,0.026552596,Limb-Muscle_skeletal muscle satellite cell,0.063347503
Nup85,-0.063278143,0.026718953,Limb-Muscle_skeletal muscle satellite cell,0.063278143
Dym,-0.063264482,0.026751825,Limb-Muscle_skeletal muscle satellite cell,0.063264482
Acot7,-0.06323378,0.026825827,Limb-Muscle_skeletal muscle satellite cell,0.06323378
Mta2,-0.063208918,0.026885882,Limb-Muscle_skeletal muscle satellite cell,0.063208918
Xrn1,0.063201672,0.026903407,Limb-Muscle_skeletal muscle satellite cell,0.063201672
Fbxo10,-0.063199265,0.02690923,Limb-Muscle_skeletal muscle satellite cell,0.063199265
Usp28,-0.063196701,0.026915434,Limb-Muscle_skeletal muscle satellite cell,0.063196701
Chmp5,-0.063190933,0.026929398,Limb-Muscle_skeletal muscle satellite cell,0.063190933
Rbp4,-0.063169301,0.026981818,Limb-Muscle_skeletal muscle satellite cell,0.063169301
Psmd11,-0.063148175,0.027033095,Limb-Muscle_skeletal muscle satellite cell,0.063148175
Plekho1,-0.063132769,0.027070543,Limb-Muscle_skeletal muscle satellite cell,0.063132769
Pcsk6,-0.063129578,0.027078306,Limb-Muscle_skeletal muscle satellite cell,0.063129578
Ficd,-0.063112549,0.027119762,Limb-Muscle_skeletal muscle satellite cell,0.063112549
