,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Nkd1,-0.012587161,0.566985718,Kidney_kidney proximal convoluted tubule epithelial cell,0.012587161
Ash2l,0.012582517,0.567128813,Kidney_kidney proximal convoluted tubule epithelial cell,0.012582517
Meis3,-0.012580743,0.567183468,Kidney_kidney proximal convoluted tubule epithelial cell,0.012580743
Pdp1,0.012580017,0.567205817,Kidney_kidney proximal convoluted tubule epithelial cell,0.012580017
BC055324,-0.012578304,0.567258604,Kidney_kidney proximal convoluted tubule epithelial cell,0.012578304
Zfp712,-0.012578304,0.567258604,Kidney_kidney proximal convoluted tubule epithelial cell,0.012578304
Zfp78,-0.012578304,0.567258604,Kidney_kidney proximal convoluted tubule epithelial cell,0.012578304
Naf1,0.012575307,0.567350953,Kidney_kidney proximal convoluted tubule epithelial cell,0.012575307
Sgtb,-0.012569838,0.567519521,Kidney_kidney proximal convoluted tubule epithelial cell,0.012569838
Txnl1,-0.01256628,0.567629169,Kidney_kidney proximal convoluted tubule epithelial cell,0.01256628
Kif26a,0.012555431,0.567963643,Kidney_kidney proximal convoluted tubule epithelial cell,0.012555431
Tmem120b,-0.012553336,0.568028239,Kidney_kidney proximal convoluted tubule epithelial cell,0.012553336
Ttl,0.012544345,0.568305479,Kidney_kidney proximal convoluted tubule epithelial cell,0.012544345
Gale,0.01254334,0.568336486,Kidney_kidney proximal convoluted tubule epithelial cell,0.01254334
Acbd3,0.012540187,0.568433734,Kidney_kidney proximal convoluted tubule epithelial cell,0.012540187
Rexo4,0.012531259,0.568709154,Kidney_kidney proximal convoluted tubule epithelial cell,0.012531259
Zdhhc4,0.012496532,0.569781016,Kidney_kidney proximal convoluted tubule epithelial cell,0.012496532
Kcnj10,-0.012495568,0.569810782,Kidney_kidney proximal convoluted tubule epithelial cell,0.012495568
Steap3,-0.012495307,0.569818846,Kidney_kidney proximal convoluted tubule epithelial cell,0.012495307
Prkrip1,0.012491064,0.569949872,Kidney_kidney proximal convoluted tubule epithelial cell,0.012491064
Zbp1,0.01247994,0.570293473,Kidney_kidney proximal convoluted tubule epithelial cell,0.01247994
Rnu12,0.012467863,0.570666621,Kidney_kidney proximal convoluted tubule epithelial cell,0.012467863
Shoc2,-0.012456287,0.571024404,Kidney_kidney proximal convoluted tubule epithelial cell,0.012456287
Vamp7,0.012454296,0.57108595,Kidney_kidney proximal convoluted tubule epithelial cell,0.012454296
8430419L09Rik,-0.012452442,0.571143254,Kidney_kidney proximal convoluted tubule epithelial cell,0.012452442
Tmem207,-0.01244663,0.571322968,Kidney_kidney proximal convoluted tubule epithelial cell,0.01244663
Cnot3,0.012441841,0.571471022,Kidney_kidney proximal convoluted tubule epithelial cell,0.012441841
Mtfmt,0.012430963,0.571807475,Kidney_kidney proximal convoluted tubule epithelial cell,0.012430963
Hagh,0.012427702,0.571908333,Kidney_kidney proximal convoluted tubule epithelial cell,0.012427702
Tmem216,0.012427273,0.571921601,Kidney_kidney proximal convoluted tubule epithelial cell,0.012427273
Tmem219,0.012419277,0.572168983,Kidney_kidney proximal convoluted tubule epithelial cell,0.012419277
Nfkbiz,0.012410354,0.572445099,Kidney_kidney proximal convoluted tubule epithelial cell,0.012410354
Hes2,0.012389299,0.573096874,Kidney_kidney proximal convoluted tubule epithelial cell,0.012389299
Pitrm1,0.012388415,0.573124272,Kidney_kidney proximal convoluted tubule epithelial cell,0.012388415
Cyp4a32,-0.01238353,0.573275549,Kidney_kidney proximal convoluted tubule epithelial cell,0.01238353
B9d2,-0.012378883,0.573419476,Kidney_kidney proximal convoluted tubule epithelial cell,0.012378883
Fn3k,0.012374027,0.573569883,Kidney_kidney proximal convoluted tubule epithelial cell,0.012374027
Hmbs,-0.012371311,0.573653997,Kidney_kidney proximal convoluted tubule epithelial cell,0.012371311
Polq,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Peli3,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Hsd17b13,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Grin3b,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
1700120C14Rik,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Gm14872,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Dnmbp,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Samd11,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Mzf1,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Has3,0.01235695,0.574098975,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235695
Ncrna00085,-0.01235689,0.574100852,Kidney_kidney proximal convoluted tubule epithelial cell,0.01235689
Traf6,0.012356069,0.574126295,Kidney_kidney proximal convoluted tubule epithelial cell,0.012356069
Cml3,-0.012349325,0.574335321,Kidney_kidney proximal convoluted tubule epithelial cell,0.012349325
Glipr2,-0.012322628,0.575163112,Kidney_kidney proximal convoluted tubule epithelial cell,0.012322628
4933412E12Rik,-0.012303378,0.575760348,Kidney_kidney proximal convoluted tubule epithelial cell,0.012303378
C330006A16Rik,-0.012302285,0.575794259,Kidney_kidney proximal convoluted tubule epithelial cell,0.012302285
Akap17b,0.012294925,0.576022675,Kidney_kidney proximal convoluted tubule epithelial cell,0.012294925
Nr4a2,-0.012290785,0.576151198,Kidney_kidney proximal convoluted tubule epithelial cell,0.012290785
Ptrh1,-0.012286799,0.576274924,Kidney_kidney proximal convoluted tubule epithelial cell,0.012286799
Ssna1,0.01228397,0.576362752,Kidney_kidney proximal convoluted tubule epithelial cell,0.01228397
Igfals,-0.012282613,0.576404887,Kidney_kidney proximal convoluted tubule epithelial cell,0.012282613
Dopey2,0.012261381,0.577064323,Kidney_kidney proximal convoluted tubule epithelial cell,0.012261381
Cd69,0.012256795,0.577206771,Kidney_kidney proximal convoluted tubule epithelial cell,0.012256795
Parp4,-0.012256278,0.577222835,Kidney_kidney proximal convoluted tubule epithelial cell,0.012256278
Osgepl1,0.012254235,0.577286336,Kidney_kidney proximal convoluted tubule epithelial cell,0.012254235
C3,0.012242758,0.577642985,Kidney_kidney proximal convoluted tubule epithelial cell,0.012242758
Lyz1,0.012240406,0.577716079,Kidney_kidney proximal convoluted tubule epithelial cell,0.012240406
Bcl11a,0.012226433,0.57815048,Kidney_kidney proximal convoluted tubule epithelial cell,0.012226433
Sp140,-0.012222475,0.578273559,Kidney_kidney proximal convoluted tubule epithelial cell,0.012222475
Diablo,0.012219799,0.578356769,Kidney_kidney proximal convoluted tubule epithelial cell,0.012219799
Prkab2,0.012219443,0.578367851,Kidney_kidney proximal convoluted tubule epithelial cell,0.012219443
Rfc1,0.012214947,0.578507671,Kidney_kidney proximal convoluted tubule epithelial cell,0.012214947
Rasal2,-0.012211115,0.578626862,Kidney_kidney proximal convoluted tubule epithelial cell,0.012211115
Syde1,0.012192694,0.579199988,Kidney_kidney proximal convoluted tubule epithelial cell,0.012192694
Ccdc68,0.012188019,0.579345482,Kidney_kidney proximal convoluted tubule epithelial cell,0.012188019
Gm1976,0.012185904,0.579411307,Kidney_kidney proximal convoluted tubule epithelial cell,0.012185904
Mastl,-0.012183695,0.579480052,Kidney_kidney proximal convoluted tubule epithelial cell,0.012183695
Gm15401,-0.012181982,0.579533384,Kidney_kidney proximal convoluted tubule epithelial cell,0.012181982
Zfp174,0.012176859,0.579692863,Kidney_kidney proximal convoluted tubule epithelial cell,0.012176859
Klrd1,0.012176632,0.579699921,Kidney_kidney proximal convoluted tubule epithelial cell,0.012176632
Mbp,0.01217592,0.579722098,Kidney_kidney proximal convoluted tubule epithelial cell,0.01217592
Setd4,0.012168785,0.579944246,Kidney_kidney proximal convoluted tubule epithelial cell,0.012168785
Mapkapk3,-0.012162957,0.580125727,Kidney_kidney proximal convoluted tubule epithelial cell,0.012162957
Tmem180,0.012161972,0.580156406,Kidney_kidney proximal convoluted tubule epithelial cell,0.012161972
Kifc2,-0.012160342,0.580207185,Kidney_kidney proximal convoluted tubule epithelial cell,0.012160342
Trim36,-0.012156499,0.580326881,Kidney_kidney proximal convoluted tubule epithelial cell,0.012156499
Csrp2bp,0.012144256,0.580708292,Kidney_kidney proximal convoluted tubule epithelial cell,0.012144256
Mudeng,-0.012142523,0.580762296,Kidney_kidney proximal convoluted tubule epithelial cell,0.012142523
Tmx3,0.012141043,0.580808389,Kidney_kidney proximal convoluted tubule epithelial cell,0.012141043
Defb42,-0.012128237,0.581207507,Kidney_kidney proximal convoluted tubule epithelial cell,0.012128237
Apex1,-0.012126047,0.581275781,Kidney_kidney proximal convoluted tubule epithelial cell,0.012126047
Spata2,-0.012123255,0.581362789,Kidney_kidney proximal convoluted tubule epithelial cell,0.012123255
Fbxo7,-0.012120651,0.581443974,Kidney_kidney proximal convoluted tubule epithelial cell,0.012120651
Blm,-0.012099375,0.58210746,Kidney_kidney proximal convoluted tubule epithelial cell,0.012099375
Pgk1,0.012095621,0.582224563,Kidney_kidney proximal convoluted tubule epithelial cell,0.012095621
Wdr75,0.012088516,0.582446237,Kidney_kidney proximal convoluted tubule epithelial cell,0.012088516
Gpn1,-0.01208241,0.582636766,Kidney_kidney proximal convoluted tubule epithelial cell,0.01208241
Zfp148,0.01207609,0.58283401,Kidney_kidney proximal convoluted tubule epithelial cell,0.01207609
Mfsd4,0.012071455,0.582978683,Kidney_kidney proximal convoluted tubule epithelial cell,0.012071455
Gpr183,0.012068399,0.583074071,Kidney_kidney proximal convoluted tubule epithelial cell,0.012068399
Tfpi,-0.012065334,0.583169735,Kidney_kidney proximal convoluted tubule epithelial cell,0.012065334
LOC100044193,0.012064783,0.583186967,Kidney_kidney proximal convoluted tubule epithelial cell,0.012064783
E330016A19Rik,-0.012060528,0.583319784,Kidney_kidney proximal convoluted tubule epithelial cell,0.012060528
Sfr1,0.012059338,0.583356958,Kidney_kidney proximal convoluted tubule epithelial cell,0.012059338
Gm16833,-0.012057378,0.583418168,Kidney_kidney proximal convoluted tubule epithelial cell,0.012057378
Erbb3,-0.012051788,0.583592711,Kidney_kidney proximal convoluted tubule epithelial cell,0.012051788
Abcg1,-0.012040502,0.583945219,Kidney_kidney proximal convoluted tubule epithelial cell,0.012040502
Dusp28,0.012036472,0.584071116,Kidney_kidney proximal convoluted tubule epithelial cell,0.012036472
Tfdp2,0.012034367,0.584136887,Kidney_kidney proximal convoluted tubule epithelial cell,0.012034367
A230072C01Rik,0.012029266,0.584296266,Kidney_kidney proximal convoluted tubule epithelial cell,0.012029266
Tssc1,-0.012028228,0.584328697,Kidney_kidney proximal convoluted tubule epithelial cell,0.012028228
1110054O05Rik,0.012025935,0.584400369,Kidney_kidney proximal convoluted tubule epithelial cell,0.012025935
6330410L21Rik,0.012024564,0.58444322,Kidney_kidney proximal convoluted tubule epithelial cell,0.012024564
Lrp3,-0.012020096,0.584582851,Kidney_kidney proximal convoluted tubule epithelial cell,0.012020096
Mrrf,0.012017641,0.584659574,Kidney_kidney proximal convoluted tubule epithelial cell,0.012017641
Wdr31,0.012009813,0.584904293,Kidney_kidney proximal convoluted tubule epithelial cell,0.012009813
Carns1,-0.01200424,0.585078505,Kidney_kidney proximal convoluted tubule epithelial cell,0.01200424
C330013E15Rik,0.011996269,0.585327764,Kidney_kidney proximal convoluted tubule epithelial cell,0.011996269
Slc25a19,-0.011988366,0.58557495,Kidney_kidney proximal convoluted tubule epithelial cell,0.011988366
Astn1,-0.011986643,0.585628845,Kidney_kidney proximal convoluted tubule epithelial cell,0.011986643
Plk5,-0.011986643,0.585628845,Kidney_kidney proximal convoluted tubule epithelial cell,0.011986643
Rdh10,-0.011979895,0.585839939,Kidney_kidney proximal convoluted tubule epithelial cell,0.011979895
Nr2c1,0.011970594,0.586130946,Kidney_kidney proximal convoluted tubule epithelial cell,0.011970594
Gm10804,0.011970264,0.586141281,Kidney_kidney proximal convoluted tubule epithelial cell,0.011970264
Med13,-0.011954498,0.586634736,Kidney_kidney proximal convoluted tubule epithelial cell,0.011954498
Qprt,-0.011949343,0.586796133,Kidney_kidney proximal convoluted tubule epithelial cell,0.011949343
Hcls1,0.011944669,0.586942502,Kidney_kidney proximal convoluted tubule epithelial cell,0.011944669
Syt12,0.011944453,0.586949262,Kidney_kidney proximal convoluted tubule epithelial cell,0.011944453
Fut10,-0.011939748,0.587096582,Kidney_kidney proximal convoluted tubule epithelial cell,0.011939748
C130036L24Rik,0.011932576,0.587321219,Kidney_kidney proximal convoluted tubule epithelial cell,0.011932576
Senp3,0.011930727,0.587379121,Kidney_kidney proximal convoluted tubule epithelial cell,0.011930727
Itga10,-0.011925254,0.587550576,Kidney_kidney proximal convoluted tubule epithelial cell,0.011925254
Rbmx2,0.011917188,0.587803294,Kidney_kidney proximal convoluted tubule epithelial cell,0.011917188
Dmxl1,-0.011916153,0.587835739,Kidney_kidney proximal convoluted tubule epithelial cell,0.011916153
Vwf,-0.011914757,0.587879458,Kidney_kidney proximal convoluted tubule epithelial cell,0.011914757
Zfp7,-0.011914414,0.587890202,Kidney_kidney proximal convoluted tubule epithelial cell,0.011914414
Gpt,-0.011912424,0.587952584,Kidney_kidney proximal convoluted tubule epithelial cell,0.011912424
Rpusd2,0.011909779,0.588035478,Kidney_kidney proximal convoluted tubule epithelial cell,0.011909779
Dguok,-0.011902048,0.588277789,Kidney_kidney proximal convoluted tubule epithelial cell,0.011902048
Ptch1,0.011884757,0.588819905,Kidney_kidney proximal convoluted tubule epithelial cell,0.011884757
Gtf2ird2,-0.011877555,0.589045755,Kidney_kidney proximal convoluted tubule epithelial cell,0.011877555
Chi3l3,-0.011868399,0.589332961,Kidney_kidney proximal convoluted tubule epithelial cell,0.011868399
Cdon,-0.011867939,0.589347394,Kidney_kidney proximal convoluted tubule epithelial cell,0.011867939
Gnai3,0.011860552,0.589579187,Kidney_kidney proximal convoluted tubule epithelial cell,0.011860552
Gtf3a,-0.011859742,0.589604578,Kidney_kidney proximal convoluted tubule epithelial cell,0.011859742
Myo9a,-0.011855251,0.589745525,Kidney_kidney proximal convoluted tubule epithelial cell,0.011855251
Hist1h3a,-0.011854353,0.589773707,Kidney_kidney proximal convoluted tubule epithelial cell,0.011854353
Jam2,-0.011851537,0.589862063,Kidney_kidney proximal convoluted tubule epithelial cell,0.011851537
Fam81a,0.011847868,0.589977225,Kidney_kidney proximal convoluted tubule epithelial cell,0.011847868
Ap4m1,-0.011838271,0.590278489,Kidney_kidney proximal convoluted tubule epithelial cell,0.011838271
Erf,-0.011837443,0.590304499,Kidney_kidney proximal convoluted tubule epithelial cell,0.011837443
Tnip1,-0.011831259,0.590498649,Kidney_kidney proximal convoluted tubule epithelial cell,0.011831259
Lzts2,0.01182759,0.59061387,Kidney_kidney proximal convoluted tubule epithelial cell,0.01182759
Nol12,0.011826609,0.590644668,Kidney_kidney proximal convoluted tubule epithelial cell,0.011826609
A130049A11Rik,-0.011817378,0.590934614,Kidney_kidney proximal convoluted tubule epithelial cell,0.011817378
Mocs3,-0.011814974,0.591010119,Kidney_kidney proximal convoluted tubule epithelial cell,0.011814974
1810013L24Rik,0.011812762,0.591079588,Kidney_kidney proximal convoluted tubule epithelial cell,0.011812762
Ipo7,0.011806193,0.591285977,Kidney_kidney proximal convoluted tubule epithelial cell,0.011806193
Polr1c,0.011804083,0.591352291,Kidney_kidney proximal convoluted tubule epithelial cell,0.011804083
Sh3bgr,-0.011792577,0.591713872,Kidney_kidney proximal convoluted tubule epithelial cell,0.011792577
Ifi203,-0.011788137,0.591853409,Kidney_kidney proximal convoluted tubule epithelial cell,0.011788137
Tesc,0.011780232,0.592101929,Kidney_kidney proximal convoluted tubule epithelial cell,0.011780232
Peo1,0.011779503,0.592124837,Kidney_kidney proximal convoluted tubule epithelial cell,0.011779503
Ttll1,0.011779027,0.592139808,Kidney_kidney proximal convoluted tubule epithelial cell,0.011779027
Usp34,-0.0117599,0.592741324,Kidney_kidney proximal convoluted tubule epithelial cell,0.0117599
Gm1673,-0.011757105,0.592829217,Kidney_kidney proximal convoluted tubule epithelial cell,0.011757105
Fkbp8,-0.011757036,0.592831389,Kidney_kidney proximal convoluted tubule epithelial cell,0.011757036
Hdac1,0.011746582,0.593160286,Kidney_kidney proximal convoluted tubule epithelial cell,0.011746582
Rhbdd3,0.011743862,0.593245868,Kidney_kidney proximal convoluted tubule epithelial cell,0.011743862
Tmem208,0.011738583,0.593412007,Kidney_kidney proximal convoluted tubule epithelial cell,0.011738583
Matk,-0.011729592,0.593695014,Kidney_kidney proximal convoluted tubule epithelial cell,0.011729592
Bcl2a1b,0.011722486,0.593918708,Kidney_kidney proximal convoluted tubule epithelial cell,0.011722486
Pldn,-0.011717297,0.594082075,Kidney_kidney proximal convoluted tubule epithelial cell,0.011717297
Cpsf2,0.011705888,0.594441374,Kidney_kidney proximal convoluted tubule epithelial cell,0.011705888
Gm4902,-0.011704569,0.594482912,Kidney_kidney proximal convoluted tubule epithelial cell,0.011704569
Pikfyve,0.011703218,0.594525461,Kidney_kidney proximal convoluted tubule epithelial cell,0.011703218
Msh2,-0.011690216,0.594935079,Kidney_kidney proximal convoluted tubule epithelial cell,0.011690216
Cnih,0.011687761,0.595012429,Kidney_kidney proximal convoluted tubule epithelial cell,0.011687761
Park2,0.011687175,0.595030895,Kidney_kidney proximal convoluted tubule epithelial cell,0.011687175
4921507P07Rik,-0.011684781,0.595106345,Kidney_kidney proximal convoluted tubule epithelial cell,0.011684781
Adamtsl4,0.011683275,0.595153783,Kidney_kidney proximal convoluted tubule epithelial cell,0.011683275
Epb4.1l4a,-0.011674892,0.595417996,Kidney_kidney proximal convoluted tubule epithelial cell,0.011674892
Slc15a3,-0.01165878,0.595925936,Kidney_kidney proximal convoluted tubule epithelial cell,0.01165878
Arhgef3,0.0116585,0.595934762,Kidney_kidney proximal convoluted tubule epithelial cell,0.0116585
Pros1,0.011653703,0.596086053,Kidney_kidney proximal convoluted tubule epithelial cell,0.011653703
Aim1,-0.011648711,0.596243481,Kidney_kidney proximal convoluted tubule epithelial cell,0.011648711
Cirh1a,0.011647355,0.596286251,Kidney_kidney proximal convoluted tubule epithelial cell,0.011647355
10-Sep,-0.011647108,0.596294047,Kidney_kidney proximal convoluted tubule epithelial cell,0.011647108
Tcof1,0.011645595,0.59634178,Kidney_kidney proximal convoluted tubule epithelial cell,0.011645595
Fkrp,0.011642345,0.596444266,Kidney_kidney proximal convoluted tubule epithelial cell,0.011642345
Cpsf1,-0.011635384,0.596663874,Kidney_kidney proximal convoluted tubule epithelial cell,0.011635384
Casd1,-0.011628053,0.596895183,Kidney_kidney proximal convoluted tubule epithelial cell,0.011628053
C1qtnf1,-0.011623162,0.597049542,Kidney_kidney proximal convoluted tubule epithelial cell,0.011623162
Gramd4,0.011620394,0.597136894,Kidney_kidney proximal convoluted tubule epithelial cell,0.011620394
Map3k7,0.011614058,0.597336882,Kidney_kidney proximal convoluted tubule epithelial cell,0.011614058
Ppan,-0.011608629,0.597508269,Kidney_kidney proximal convoluted tubule epithelial cell,0.011608629
Abt1,0.011608298,0.597518726,Kidney_kidney proximal convoluted tubule epithelial cell,0.011608298
Pgam5,-0.011605259,0.597614667,Kidney_kidney proximal convoluted tubule epithelial cell,0.011605259
Iws1,0.011599949,0.597782341,Kidney_kidney proximal convoluted tubule epithelial cell,0.011599949
B230217C12Rik,-0.011578751,0.598451857,Kidney_kidney proximal convoluted tubule epithelial cell,0.011578751
Dock10,0.011577295,0.598497856,Kidney_kidney proximal convoluted tubule epithelial cell,0.011577295
Fhl3,0.011573531,0.598616794,Kidney_kidney proximal convoluted tubule epithelial cell,0.011573531
Cops5,-0.01157223,0.598657889,Kidney_kidney proximal convoluted tubule epithelial cell,0.01157223
Gpr65,0.011559482,0.599060757,Kidney_kidney proximal convoluted tubule epithelial cell,0.011559482
Oas1c,-0.011556844,0.599144158,Kidney_kidney proximal convoluted tubule epithelial cell,0.011556844
9330159M07Rik,-0.01155311,0.599262172,Kidney_kidney proximal convoluted tubule epithelial cell,0.01155311
Syt11,-0.01154702,0.599454707,Kidney_kidney proximal convoluted tubule epithelial cell,0.01154702
Ptprk,0.011532746,0.599906086,Kidney_kidney proximal convoluted tubule epithelial cell,0.011532746
2610029G23Rik,0.011527401,0.600075167,Kidney_kidney proximal convoluted tubule epithelial cell,0.011527401
Zbtb39,0.011525874,0.600123445,Kidney_kidney proximal convoluted tubule epithelial cell,0.011525874
Xrcc3,-0.011515051,0.600465847,Kidney_kidney proximal convoluted tubule epithelial cell,0.011515051
2510009E07Rik,-0.011513302,0.600521213,Kidney_kidney proximal convoluted tubule epithelial cell,0.011513302
Trim11,-0.011512457,0.600547937,Kidney_kidney proximal convoluted tubule epithelial cell,0.011512457
Txnl4b,-0.01151023,0.600618415,Kidney_kidney proximal convoluted tubule epithelial cell,0.01151023
Il28ra,-0.011505761,0.600759838,Kidney_kidney proximal convoluted tubule epithelial cell,0.011505761
Rad52,0.011498102,0.601002241,Kidney_kidney proximal convoluted tubule epithelial cell,0.011498102
Stk19,-0.011490171,0.601253328,Kidney_kidney proximal convoluted tubule epithelial cell,0.011490171
Zfp687,-0.011488233,0.601314689,Kidney_kidney proximal convoluted tubule epithelial cell,0.011488233
Zfp40,0.011486799,0.601360088,Kidney_kidney proximal convoluted tubule epithelial cell,0.011486799
Dcaf13,0.011479785,0.601582166,Kidney_kidney proximal convoluted tubule epithelial cell,0.011479785
Arl6ip1,-0.011478608,0.601619437,Kidney_kidney proximal convoluted tubule epithelial cell,0.011478608
Grhpr,-0.011477567,0.601652413,Kidney_kidney proximal convoluted tubule epithelial cell,0.011477567
Slc2a3,-0.011474411,0.601752378,Kidney_kidney proximal convoluted tubule epithelial cell,0.011474411
BC003266,0.011469837,0.601897247,Kidney_kidney proximal convoluted tubule epithelial cell,0.011469837
Wdr33,-0.011461356,0.602165906,Kidney_kidney proximal convoluted tubule epithelial cell,0.011461356
Kctd17,0.011455901,0.602338741,Kidney_kidney proximal convoluted tubule epithelial cell,0.011455901
Wdr53,0.011452911,0.602433476,Kidney_kidney proximal convoluted tubule epithelial cell,0.011452911
Ppp1r7,0.011446265,0.602644105,Kidney_kidney proximal convoluted tubule epithelial cell,0.011446265
AI480653,0.011440315,0.602832673,Kidney_kidney proximal convoluted tubule epithelial cell,0.011440315
Fam189b,0.011437711,0.602915201,Kidney_kidney proximal convoluted tubule epithelial cell,0.011437711
Ccdc15,0.011434219,0.603025907,Kidney_kidney proximal convoluted tubule epithelial cell,0.011434219
Dclre1b,-0.011433806,0.603039019,Kidney_kidney proximal convoluted tubule epithelial cell,0.011433806
Fxyd3,-0.011432413,0.603083176,Kidney_kidney proximal convoluted tubule epithelial cell,0.011432413
Prpf18,-0.011429617,0.603171802,Kidney_kidney proximal convoluted tubule epithelial cell,0.011429617
AA960436,0.011426495,0.60327079,Kidney_kidney proximal convoluted tubule epithelial cell,0.011426495
Rad1,-0.01142436,0.603338503,Kidney_kidney proximal convoluted tubule epithelial cell,0.01142436
Bcl7c,0.011423636,0.603361443,Kidney_kidney proximal convoluted tubule epithelial cell,0.011423636
Ddhd1,0.011423309,0.603371814,Kidney_kidney proximal convoluted tubule epithelial cell,0.011423309
Incenp,-0.011420869,0.603449195,Kidney_kidney proximal convoluted tubule epithelial cell,0.011420869
Mfap3,-0.011419008,0.603508228,Kidney_kidney proximal convoluted tubule epithelial cell,0.011419008
Ptprs,-0.011415646,0.603614846,Kidney_kidney proximal convoluted tubule epithelial cell,0.011415646
Rnf6,0.011403594,0.60399714,Kidney_kidney proximal convoluted tubule epithelial cell,0.011403594
Socs1,0.011402972,0.604016871,Kidney_kidney proximal convoluted tubule epithelial cell,0.011402972
Ddi2,0.011397476,0.604191225,Kidney_kidney proximal convoluted tubule epithelial cell,0.011397476
Rqcd1,-0.011397165,0.604201094,Kidney_kidney proximal convoluted tubule epithelial cell,0.011397165
Rint1,-0.011395368,0.604258118,Kidney_kidney proximal convoluted tubule epithelial cell,0.011395368
2310034G01Rik,-0.01138373,0.604627453,Kidney_kidney proximal convoluted tubule epithelial cell,0.01138373
Hsd11b2,0.011380542,0.604728645,Kidney_kidney proximal convoluted tubule epithelial cell,0.011380542
2700062C07Rik,0.01137966,0.604756627,Kidney_kidney proximal convoluted tubule epithelial cell,0.01137966
Man2a1,0.011369481,0.605079773,Kidney_kidney proximal convoluted tubule epithelial cell,0.011369481
Mid2,-0.011368494,0.605111132,Kidney_kidney proximal convoluted tubule epithelial cell,0.011368494
Gltpd2,0.011368305,0.605117112,Kidney_kidney proximal convoluted tubule epithelial cell,0.011368305
Olfr212,0.011368305,0.605117112,Kidney_kidney proximal convoluted tubule epithelial cell,0.011368305
Junb,-0.011367696,0.60513646,Kidney_kidney proximal convoluted tubule epithelial cell,0.011367696
Nr1h3,-0.011366948,0.605160216,Kidney_kidney proximal convoluted tubule epithelial cell,0.011366948
Kctd13,0.011365454,0.60520764,Kidney_kidney proximal convoluted tubule epithelial cell,0.011365454
Tcte3,-0.011361396,0.605336511,Kidney_kidney proximal convoluted tubule epithelial cell,0.011361396
Psmg1,0.01135779,0.605451034,Kidney_kidney proximal convoluted tubule epithelial cell,0.01135779
Lrrc47,0.011353779,0.605578403,Kidney_kidney proximal convoluted tubule epithelial cell,0.011353779
Tm4sf5,-0.011349296,0.605720823,Kidney_kidney proximal convoluted tubule epithelial cell,0.011349296
Arl2bp,-0.011341873,0.605956613,Kidney_kidney proximal convoluted tubule epithelial cell,0.011341873
Tmed8,0.011340634,0.60599597,Kidney_kidney proximal convoluted tubule epithelial cell,0.011340634
Hebp2,0.011335083,0.606172376,Kidney_kidney proximal convoluted tubule epithelial cell,0.011335083
Rad23b,0.011329769,0.606341233,Kidney_kidney proximal convoluted tubule epithelial cell,0.011329769
Stac3,-0.011324077,0.60652212,Kidney_kidney proximal convoluted tubule epithelial cell,0.011324077
Gm12250,-0.011323723,0.606533388,Kidney_kidney proximal convoluted tubule epithelial cell,0.011323723
Tom1,-0.011320728,0.606628563,Kidney_kidney proximal convoluted tubule epithelial cell,0.011320728
Usp19,0.011313337,0.60686354,Kidney_kidney proximal convoluted tubule epithelial cell,0.011313337
Bloc1s3,0.011302385,0.607211754,Kidney_kidney proximal convoluted tubule epithelial cell,0.011302385
Tmcc2,0.011302179,0.6072183,Kidney_kidney proximal convoluted tubule epithelial cell,0.011302179
Athl1,-0.011293054,0.607508508,Kidney_kidney proximal convoluted tubule epithelial cell,0.011293054
Grk4,-0.011281705,0.607869543,Kidney_kidney proximal convoluted tubule epithelial cell,0.011281705
Clec5a,-0.011256705,0.608665145,Kidney_kidney proximal convoluted tubule epithelial cell,0.011256705
Nrarp,-0.011256051,0.608685974,Kidney_kidney proximal convoluted tubule epithelial cell,0.011256051
Ccndbp1,-0.011254811,0.608725465,Kidney_kidney proximal convoluted tubule epithelial cell,0.011254811
Zmat2,-0.0112539,0.608754455,Kidney_kidney proximal convoluted tubule epithelial cell,0.0112539
Nras,-0.011253179,0.608777398,Kidney_kidney proximal convoluted tubule epithelial cell,0.011253179
Impg2,0.011252009,0.608814652,Kidney_kidney proximal convoluted tubule epithelial cell,0.011252009
Nup88,0.011248862,0.608914855,Kidney_kidney proximal convoluted tubule epithelial cell,0.011248862
Tab1,-0.011248696,0.608920126,Kidney_kidney proximal convoluted tubule epithelial cell,0.011248696
Bbs5,-0.011225477,0.609659627,Kidney_kidney proximal convoluted tubule epithelial cell,0.011225477
Smad3,0.011214873,0.609997487,Kidney_kidney proximal convoluted tubule epithelial cell,0.011214873
Samd4b,0.011210665,0.610131565,Kidney_kidney proximal convoluted tubule epithelial cell,0.011210665
