,Pearson Correlation,P-values,Category,Absolute Pearson Correlation
Gm6484,0.103096558,2.58E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103096558
Wwtr1,-0.103083721,2.59E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103083721
Gm5887,0.10303377,2.62E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.10303377
B3gnt1,-0.103031468,2.62E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.103031468
Naprt1,-0.102979318,2.65E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102979318
Plekhm1,0.102966306,2.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102966306
Gal3st1,-0.102963833,2.66E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102963833
Tgs1,0.102946218,2.67E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102946218
Tle4,0.102931164,2.68E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102931164
Cln6,-0.102919388,2.69E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102919388
Hiatl1,-0.102853875,2.73E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102853875
Hdac5,-0.102805877,2.76E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102805877
Map2k3,-0.102746256,2.79E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102746256
Zbed3,0.102698072,2.82E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102698072
1700112E06Rik,0.102679708,2.84E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102679708
Nek7,0.102649892,2.86E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102649892
Cyb5r1,-0.102570933,2.91E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102570933
Ehmt2,-0.102502833,2.95E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102502833
Tbca,-0.102479967,2.97E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102479967
Tob1,0.102473518,2.97E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102473518
Frk,0.102463576,2.98E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102463576
2810055F11Rik,0.102407523,3.01E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102407523
Plekhm2,0.102397662,3.02E-06,Kidney_kidney proximal convoluted tubule epithelial cell,0.102397662
